"efo_id","disease_full_name","number_of_associations"
"MONDO_0060711","Jaberi-Elahi syndrome",79
"EFO_0009158","encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy",10
"MONDO_0032889","Poirier-Bienvenu neurodevelopmental syndrome",13
"MONDO_0014958","Harel-Yoon syndrome",48
"MONDO_0000426","autosomal dominant disease",6264
"EFO_0010630","intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",5
"Orphanet_448267","regressive spondylometaphyseal dysplasia",1
"EFO_0005649","spondylolysis",4
"Orphanet_2501","Metaphyseal chondrodysplasia, Spahr type",9
"Orphanet_85192","Calvarial doughnut lesions - bone fragility",5
"Orphanet_93271","Short rib-polydactyly syndrome, Verma-Naumoff type",318
"Orphanet_3034","Delayed membranous cranial ossification",3
"EFO_1001434","Tendinopathy",364
"Orphanet_2027","Gingival fibromatosis - progressive deafness",17
"MONDO_0019751","autoinflammatory syndrome",2562
"EFO_1001375","Myocardial Ischemia",1395
"EFO_0007539","viral hemorrhagic septicemia",25
"EFO_0007325","infectious ectromelia",28
"Orphanet_166029","Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",32
"EFO_0005741","infectious disease",10327
"EFO_1001114","pneumococcal meningitis",124
"EFO_1001324","Fascioliasis",48
"EFO_0007232","cystoisosporiasis",1
"EFO_1001280","Burkholderia Infections",0
"MONDO_0006751","Erysipelothrix infectious disease",1
"EFO_1000928","Erysipelothrix rhusiopathiae infectious disease",1
"EFO_0000778","anthrax infection",206
"EFO_0003033","bacteriemia",1325
"MONDO_0030603","Klebsiella infectious disease",5
"EFO_1001126","primary Fusobacteriaceae infectious disease",0
"EFO_0008431","maximal voluntary ventilation",1
"EFO_0004502","adiponectin measurement",32
"EFO_0004862","phytosterol measurement",3
"EFO_0005659","plasma beta-amyloid 1-40 measurement",0
"GO_0042451","purine nucleoside biosynthetic process",0
"GO_0046129","purine ribonucleoside biosynthetic process",0
"GO_0009127","purine nucleoside monophosphate biosynthetic process",0
"GO_0006793","phosphorus metabolic process",0
"GO_0015939","pantothenate metabolic process",0
"GO_0030252","growth hormone secretion",0
"EFO_0009870","bone metastasis",2
"GO_0016119","carotene metabolic process",0
"EFO_0002756","fasting",1
"EFO_0005432","non-substance related disinhibited behaviour",0
"GO_0097327","response to antineoplastic agent",74
"EFO_0007816","response to trametinib",0
"EFO_0004829","response to irinotecan",9
"GO_1902519","response to docetaxel",3
"GO_1901555","response to paclitaxel",2
"GO_0097338","response to clozapine",31
"GO_0034097","response to cytokine",9
"EFO_0004645","response to vaccine",150
"EFO_0006904","response to efavirenz",1
"EFO_0010730","response to bezlotoxumab",0
"EFO_0007880","response to dendritic cell-based immunotherapy",0
"EFO_0005658","response to selective serotonin reuptake inhibitor",37
"GO_0002524","hypersensitivity",0
"GO_0042538","hyperosmotic salinity response",0
"GO_0033273","response to vitamin",3
"EFO_0000483","exercise",2
"GO_0042593","glucose homeostasis",0
"GO_0055074","calcium ion homeostasis",0
"GO_0009856","pollination",0
"EFO_0009576","multiple gestation",0
"GO_0007601","visual perception",0
"GO_0051930","regulation of sensory perception of pain",0
"GO_0045822","negative regulation of heart contraction",0
"GO_1900134","negative regulation of renin secretion into blood stream",0
"EFO_0009835","increased respiratory secretion",0
"EFO_0009836","bronchoconstriction",2
"Orphanet_97363","Unilateral multicystic dysplastic kidney",2
"Orphanet_2666","Adult familial nephronophthisis - spastic quadriparesia",0
"EFO_0009022","Bardet-Biedl syndrome 10",510
"Orphanet_2750","Orofaciodigital syndrome type 1",44
"MONDO_0054565","short-rib thoracic dysplasia 17 with or without polydactyly",125
"Orphanet_93606","Nephrogenic syndrome of inappropriate antidiuresis",45
"Orphanet_84090","Fibronectin glomerulopathy",183
"Orphanet_93220","Sporadic idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial sclerosis",0
"Orphanet_93213","Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis",0
"Orphanet_93562","Familial renal amyloidosis due to fibrinogen A alpha-chain variant",3
"Orphanet_183589","Genetic thrombotic microangiopathy",3099
"Orphanet_848","Beta-thalassemia",311
"Orphanet_60","Alpha-1-antitrypsin deficiency",72
"Orphanet_352","Galactosemia",191
"Orphanet_87876","sialidosis type II",141
"Orphanet_79233","Hypoxanthine guanine phosphoribosyltransferase partial deficiency",8
"Orphanet_183539","Genetic renal or urinary tract malformation",3584
"Orphanet_238650","Congenital primary megaureter, refluxing form",0
"Orphanet_93547","Syndromic renal or urinary tract malformation",3249
"Orphanet_247775","Classic Mayer-Rokitansky-Küster-Hauser syndrome",5
"MONDO_0060555","vertebral, cardiac, renal, and limb defects syndrome 2",0
"Orphanet_1475","Renal coloboma syndrome",20
"Orphanet_3378","Trisomy 13",35
"Orphanet_99228","Mosaic monosomy X",6
"Orphanet_231117","Beckwith-Wiedemann syndrome due to imprinting defect of 11p15",0
"Orphanet_93111","Renal cysts and diabetes syndrome",85
"EFO_0003865","kidney neoplasm",5102
"EFO_0005701","malignant rhabdoid tumour",329
"MONDO_0001378","urachus cancer",0
"EFO_0008512","micropapillary urothelial carcinoma",6
"MONDO_0021239","urethra neoplasm",96
"Orphanet_183595","Genetic renal tumor",1303
"EFO_0007409","ornithine carbamoyltransferase deficiency",33
"MONDO_0000383","benign reproductive system neoplasm",1171
"MONDO_0001841","uterine corpus epithelioid leiomyoma",0
"MONDO_0002480","endometrioid tumor",729
"MONDO_0001528","vulva cancer",210
"EFO_1000624","Vulvar Squamous Cell Carcinoma",121
"EFO_1001514","endometrial endometrioid carcinoma",52
"MONDO_0037746","malignant vaginal mixed epithelial and mesenchymal neoplasm",0
"EFO_1000618","Vaginal Carcinosarcoma",0
"EFO_1000605","Undifferentiated Ovarian Carcinoma",15
"EFO_1000043","ovarian serous cystadenocarcinoma",243
"EFO_1000431","Ovarian Small Cell Carcinoma",48
"MONDO_0002481","ovarian neuroendocrine neoplasm",48
"MONDO_0002715","uterine cancer",4020
"EFO_1000169","Cervical Mucinous Adenocarcinoma, Minimal Deviation Variant",1
"EFO_0002914","uterine sarcoma",216
"EFO_1001974","uterine leiomyosarcoma",1082
"MONDO_0016785","complete hydatidiform mole",104
"MONDO_0003756","ovarian mucinous neoplasm",293
"Orphanet_1331","Familial prostate cancer",76
"EFO_0000673","prostate adenocarcinoma",5262
"MONDO_0018352","squamous cell carcinoma of penis",71
"EFO_0010270","Menstrual disorder",431
"Orphanet_90790","Congenital lipoid adrenal hyperplasia due to STAR deficency",31
"Orphanet_126","Blepharophimosis - epicanthus inversus - ptosis",16
"Orphanet_2560","Möbius syndrome - axonal neuropathy - hypogonadotropic hypogonadism",0
"Orphanet_398079","Prader-Willi-like syndrome due to point mutation",0
"Orphanet_90695","Panhypopituitarism",49
"Orphanet_67045","X-linked intellectual disability with isolated growth hormone deficiency",49
"MONDO_0024464","pituitary hormone deficiency, combined, 1",46
"MONDO_0019834","pituitary hormone deficiency from meningeal origin",0
"Orphanet_168563","46,XY gonadal dysgenesis - motor and sensory neuropathy",76
"Orphanet_1772","45,X/46,XY mixed gonadal dysgenesis",10
"Orphanet_325690","Genetic disorder of sex development",2167
"Orphanet_2138","46,XX ovotesticular disorder of sex development",30
"Orphanet_96265","Leydig cell hypoplasia due to complete LH resistance",30
"Orphanet_90797","Partial androgen insensitivity syndrome",24
"MONDO_0018561","precocious puberty in female",0
"MONDO_0032898","spermatogenic failure 43",838
"MONDO_0032896","spermatogenic failure 42",261
"MONDO_0001551","ulceration of vulva",0
"MONDO_0002234","vaginitis (disease)",352
"MONDO_0023557","infective vaginitis",134
"Orphanet_183734","Genetic gynecological tumor",313
"Orphanet_180074","True unicornuate uterus",0
"Orphanet_325632","46,XY disorder of sex development of gynecological interest",476
"Orphanet_98074","Gonadal dysgenesis of gynecological interest",279
"MONDO_0004497","tertiary syphilis",3
"EFO_0001065","endometriosis",1662
"EFO_0007441","placenta disease",1247
"EFO_0009948","chorioamnionitis",238
"Orphanet_2911","Poland syndrome",138
"Orphanet_69085","Limb-mammary syndrome",156
"MONDO_0015860","anomaly of puberty or/and menstrual cycle",3452
"EFO_1001064","non-gestational choriocarcinoma",1
"Orphanet_271844","Genetic urogenital tumor",76
"Orphanet_2042","Tracheo-esophageal fistula - hypospadias",0
"EFO_0008617","Medullary Cystic Kidney Disease Type I",0
"Orphanet_314709","Primary localized amyloidosis",13
"EFO_0007290","Goodpasture syndrome",118
"EFO_1001857","Takayasu arteritis",164
"Orphanet_93262","Crouzon syndrome - acanthosis nigricans",201
"EFO_1001099","perinephritis",4
"EFO_0009530","anuria",110
"Orphanet_98646","Renal disease with cataract",162
"EFO_1000025","cystitis",881
"Orphanet_3088","Revesz syndrome",5
"MONDO_0010584","dyskeratosis congenita, X-linked",42
"Orphanet_331184","Constitutional neutropenia with extra-haematopoietic manifestations",1412
"Orphanet_86818","Alport syndrome - intellectual disability - midface hypoplasia - elliptocytosis",5
"Orphanet_199337","Pancreatic insufficiency - anemia - hyperostosis",17
"Orphanet_280663","Hermansky-Pudlak syndrome type 9",5
"Orphanet_852","X-linked thrombocytopenia with normal platelets",32
"Orphanet_274","Bernard-Soulier syndrome",340
"MONDO_0014386","platelet-type bleeding disorder 18",124
"Orphanet_326","Congenital factor V deficiency",8
"Orphanet_169808","Mild hemophilia A",4
"Orphanet_329","Congenital factor XI deficiency",2
"Orphanet_166081","Von Willebrand disease type 2",15
"EFO_0003812","refractory anemia with ringed sideroblasts",64
"Orphanet_98369","Rare constitutional hemolytic anemia due to an enzyme disorder",649
"Orphanet_1044","Anemia due to adenosine triphosphatase deficiency",28
"Orphanet_289846","Glutathione synthetase deficiency with 5-oxoprolinuria",247
"Orphanet_98366","Constitutional hemolytic anemia due to acanthocytosis",129
"Orphanet_182040","Medullar aplasia",2971
"Orphanet_275745","Alpha-thalassemia and related diseases",656
"Orphanet_98873","Congenital dyserythropoietic anemia type II",113
"EFO_0001378","multiple myeloma",3029
"MONDO_0004680","primary thrombocytopenia",698
"EFO_0007329","interdigitating dendritic cell sarcoma",14
"EFO_1001935","adult B acute lymphoblastic leukemia",58
"Orphanet_2442","X-linked lymphoproliferative disease",704
"EFO_1000549","Splenic Mantle Cell Lymphoma",4
"EFO_1000490","Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type",15
"MONDO_0017346","Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly",4
"EFO_1000587","Thyroid Gland Diffuse Large B-Cell Lymphoma",7
"EFO_1000491","Primary Effusion Lymphoma",264
"EFO_1000533","Small Intestinal Burkitt Lymphoma",0
"EFO_0009441","Waldenstrom macroglobulinemia",151
"MONDO_0017599","splenic diffuse red pulp small B-cell lymphoma",16
"Orphanet_158029","Sea-blue histiocytosis",8
"MONDO_0011118","bilineal acute myeloid leukemia",2125
"EFO_0000224","acute promyelocytic leukemia",962
"MONDO_0019457","therapy related acute myeloid leukemia and myelodysplastic syndrome",172
"EFO_1000388","Myelodysplastic/Myeloproliferative Neoplasm",416
"MONDO_0018079","thymic epithelial neoplasm",846
"EFO_1000582","Thymoma Type AB",15
"EFO_1000579","Thymic Squamous Cell Carcinoma",61
"EFO_1000054","thymic lymphoma",116
"EFO_1000785","Sezary's disease",281
"EFO_1000083","Anaplastic Large Cell Lymphoma, ALK-Negative",12
"EFO_1001341","Heavy Chain Disease",22
"EFO_1002031","Hodgkins lymphoma, mixed cellularity",13
"EFO_1000364","Mast Cell Sarcoma",45
"EFO_0000198","myelodysplastic syndrome",2754
"EFO_1000152","Cavernous Hemangioma of the Face",1
"EFO_1000972","hyperglobulinemic purpura",0
"MONDO_0004139","normocytic anemia",2407
"MONDO_0002245","blood platelet disease",2399
"MONDO_0004805","leukocyte disease",6477
"EFO_0007433","phagocyte bactericidal dysfunction",559
"EFO_1000903","drug-induced akathisia",1
"EFO_1001810","mercury poisoning",24
"EFO_0009476","neck injury",16
"EFO_0009617","knee fracture",111
"EFO_0009611","orbital fracture",1
"EFO_0009886","blood vessel injury",22
"EFO_0009816","perineal laceration during delivery",5
"EFO_1000402","Normal Breast-Like Subtype of Breast Carcinoma",4
"EFO_1001002","kernicterus",9
"EFO_0009682","pregnancy disorder",3250
"EFO_0002628","peripartum cardiomyopathy",29
"EFO_0007453","postpartum depression",82
"Orphanet_2078","Geroderma osteodysplastica",24
"Orphanet_99170","Tarsal kink syndrome",0
"Orphanet_217093","Mucopolysaccharidosis type 2, attenuated form",0
"MONDO_0030134","oculopharyngodistal myopathy 2",0
"Orphanet_2399","Nasopalpebral lipoma - coloboma - telecanthus",22
"Orphanet_98573","Epicanthal fold",635
"Orphanet_1705","Distal trisomy 14q",0
"Orphanet_1587","Monosomy 13q14",16
"Orphanet_79665","Gardner syndrome",31
"Orphanet_211","Familial cylindromatosis",22
"Orphanet_98584","Malignant tumor of palpebral epidermis",155
"Orphanet_618","Familial melanoma",117
"MONDO_0012183","melanoma, cutaneous malignant, susceptibility to, 3",1
"Orphanet_3437","Vogt-Koyanagi-Harada disease",58
"Orphanet_1023","Congenital generalized hypertrichosis, Ambras type",1
"MONDO_0004800","chronic dacryoadenitis",0
"Orphanet_1810","Autosomal dominant hypohidrotic ectodermal dysplasia",45
"MONDO_0020172","palpebral epidermal tumor",928
"MONDO_0000941","eyelid degenerative disease",276
"EFO_0009450","conjunctivitis",528
"MONDO_0001476","coloboma",759
"EFO_1001414","Retrobulbar Hemorrhage",0
"Orphanet_209867","Autosomal dominant rhegmatogenous retinal detachment",15
"Orphanet_63454","Patterned dystrophy of the retinal pigment epithelium",243
"Orphanet_99000","Adult-onset foveomacular vitelliform dystrophy",25
"Orphanet_228357","CLN9 disease",60
"Orphanet_228354","CLN8 disease",95
"Orphanet_228363","CLN6 disease",113
"Orphanet_228360","CLN5 disease",157
"Orphanet_255241","Leigh syndrome with leukodystrophy",0
"Orphanet_363989","Familial benign flecked retina",28
"Orphanet_3011","Spastic tetraplegia - retinitis pigmentosa - intellectual disability",1
"Orphanet_86813","Helicoid peripapillary chorioretinal degeneration",5
"EFO_0004683","wet macular degeneration",453
"MONDO_0003005","macular retinal edema",82
"MONDO_0004587","hereditary night blindness",249
"Orphanet_98657","Genetic vitreous-retinal disease",4788
"EFO_0009201","myopic macular degeneration",2
"Orphanet_98670","Vitreoretinal degeneration",553
"MONDO_0021231","retina neoplasm",1242
"MONDO_0004348","retinal telangiectasia",56
"EFO_1001993","scleroderma",1520
"Orphanet_171844","Blindness-scoliosis-arachnodactyly syndrome",0
"Orphanet_98983","Congenital cataract, Volkmann type",26
"Orphanet_309803","Rhizomelic chondrodysplasia punctata type 3",120
"Orphanet_3449","Weill-Marchesani syndrome",107
"Orphanet_363992","Ichthyosis-short stature-brachydactyly-microspherophakia syndrome",10
"Orphanet_98675","Autosomal recessive optic atrophy",1336
"Orphanet_210110","Intermediate osteopetrosis",35
"EFO_0009018","Autosomal recessive spastic paraplegia type 75",3
"Orphanet_52368","Mohr-Tranebjaerg syndrome",124
"Orphanet_363741","Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome",4
"Orphanet_2707","Oculocerebrofacial syndrome, Kaufman type",5
"Orphanet_250923","Isolated aniridia",325
"Orphanet_98555","Anophthalmia - microphthalmia",1188
"Orphanet_359","Hereditary glaucoma",912
"MONDO_0007664","glaucoma 1, open angle, A",3
"Orphanet_158668","Epidermolysis bullosa simplex due to plakophilin deficiency",54
"Orphanet_98697","Genetic keratinization disorder associated with ocular features",613
"Orphanet_35698","Mitochondrial DNA depletion syndrome",1277
"Orphanet_189466","Familial isolated hypoparathyroidism due to impaired PTH secretion",107
"Orphanet_2239","Familial isolated hypoparathyroidism due to agenesis of parathyroid gland",3
"Orphanet_98714","Metabolic disease with macular cherry-red spot",304
"Orphanet_902","Werner syndrome",155
"Orphanet_3177","Corneal-cerebellar syndrome",10
"Orphanet_79270","Sanfilippo syndrome type B",59
"Orphanet_79272","Sanfilippo syndrome type D",23
"Orphanet_363677","Childhood-onset autosomal recessive myopathy with external ophthalmoplegia",1
"Orphanet_98683","Syndrome with a symptomatic strabismus",2082
"Orphanet_98773","Spinocerebellar ataxia type 21",20
"Orphanet_101108","Spinocerebellar ataxia type 23",47
"Orphanet_94149","Autosomal dominant cerebellar ataxia type 4",161
"Orphanet_208508","Autosomal dominant cerebellar ataxia type 2",97
"Orphanet_1170","Autosomal recessive cerebelloparenchymal disorder type 3",81
"Orphanet_94122","Cerebellar ataxia, Cayman type",6
"MONDO_0020771","spinocerebellar ataxia, autosomal recessive, with axonal neuropathy",32
"MONDO_0021224","iris neoplasm",2
"EFO_1000811","anterior uveitis",138
"MONDO_0021225","uvea neoplasm",604
"EFO_1001022","low tension glaucoma",101
"MONDO_0049221","myopia 26, X-linked, female-limited",1
"MONDO_0032941","myopia 27",6
"EFO_0009674","lens disease",3923
"MONDO_0015937","rare inflammatory eye disease",850
"MONDO_0024315","parasitic endophthalmitis",12
"MONDO_0020947","parasitic eye infection",101
"EFO_0009486","diabetic eye disease",1011
"EFO_1000044","pancreatic adenocarcinoma",3099
"Orphanet_276598","Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency",295
"Orphanet_165985","Diazoxide-sensitive diffuse hyperinsulinism",468
"EFO_0000400","diabetes mellitus",6869
"EFO_0001360","type II diabetes mellitus",3247
"EFO_0009758","fulminant type 1 diabetes",34
"EFO_0009756","autoimmune type 1 diabetes",227
"EFO_0000278","pancreatitis",1378
"EFO_1000780","autoimmune pancreatitis type 1",1
"Orphanet_324561","Hypopigmentation-punctate palmoplantar keratoderma syndrome",112
"EFO_1000758","punctate palmoplantar keratoderma type III",88
"Orphanet_98349","Autosomal dominant isolated diffuse palmoplantar keratoderma",221
"Orphanet_317","Erythrokeratodermia variabilis",61
"Orphanet_494","Keratoderma hereditarium mutilans",81
"Orphanet_1366","Autosomal recessive palmoplantar keratoderma and congenital alopecia",47
"Orphanet_2342","Haim-Munk syndrome",2
"Orphanet_678","Papillon-Lefèvre syndrome",67
"MONDO_0007859","palmoplantar keratoderma i, striate, focal, or diffuse",3
"Orphanet_2309","Pachyonychia congenita",39
"EFO_1000678","cholesteatoma of middle ear",276
"EFO_1000676","cholesteatoma of attic",0
"EFO_1000717","inverted follicular keratosis",1
"MONDO_0024308","pseudoxanthoma elasticum (inherited or acquired)",144
"Orphanet_1006","Alopecia antibody deficiency",0
"Orphanet_55654","Hypotrichosis simplex",214
"Orphanet_217407","Hereditary hypotrichosis with recurrent skin vesicles",24
"EFO_0006510","Herpes Zoster",448
"EFO_0007508","tick infestation",117
"EFO_0008597","anti-p200 pemphigoid",5
"EFO_0008607","drug-induced pemphigus",3
"EFO_0008613","pemphigus vegetans",4
"Orphanet_79403","Junctional epidermolysis bullosa - pyloric atresia",14
"Orphanet_304","Epidermolysis bullosa simplex",301
"Orphanet_79397","Epidermolysis bullosa simplex with mottled pigmentation",6
"MONDO_0022749","non-neoplastic nevus",0
"EFO_1000776","viral exanthem",4
"MONDO_0024351","familial pityriasis rubra pilaris",1
"EFO_1000756","pityriasis rosea",114
"MONDO_0033947","hereditary angioedema with normal C1Inh",11
"Orphanet_95429","Angioma serpiginosum",88
"Orphanet_2346","Angioosteohypertrophic syndrome",32
"MONDO_0017396","toxic dermatosis",150
"Orphanet_183466","Genetic hyperpigmentation of the skin",3317
"MONDO_0008672","Watson syndrome",1
"Orphanet_2069","Gastrocutaneous syndrome",1
"Orphanet_280628","Familial progressive hyper- and hypopigmentation",2
"EFO_1000769","steroid lipomatosis",0
"EFO_1000667","adiposis dolorosa",165
"Orphanet_69125","Anonychia with flexural pigmentation",21
"Orphanet_217059","Isolated congenital digital clubbing",23
"Orphanet_247827","Ectodermal dysplasia - cutaneous syndactyly syndrome",41
"Orphanet_2890","Pili torti - onychodysplasia",0
"Orphanet_502","Langer-Giedion syndrome",17
"MONDO_0021653","cutaneous focal mucinosis",5
"Orphanet_263553","Peeling skin syndrome type B",144
"Orphanet_50943","Keratolytic winter erythema",30
"Orphanet_2339","Keratosis follicularis - dwarfism - cerebral atrophy",3
"MONDO_0024255","genetic skin disease",8772
"Orphanet_228215","Genetic dermis elastic tissue disorder",1324
"Orphanet_230839","Ehlers-Danlos syndrome due to tenascin-X deficiency",42
"Orphanet_157965","Ehlers-Danlos syndrome, spondylocheirodysplastic type",129
"Orphanet_300179","Ehlers-Danlos syndrome, kyphoscoliotic and deafness type",7
"Orphanet_626","Large congenital melanocytic nevus",35
"Orphanet_276280","Hemihyperplasia-multiple lipomatosis syndrome",1
"Orphanet_3110","Rombo syndrome",5
"Orphanet_2028","Juvenile hyaline fibromatosis",70
"Orphanet_2874","Phakomatosis pigmentokeratotica",1
"Orphanet_2762","Progressive osseous heteroplasia",7
"Orphanet_2500","Acrogeria",1
"Orphanet_79333","COG7-CDG",15
"Orphanet_1003","Scalp defects - postaxial polydactyly",8
"Orphanet_2837","Pellagra-like skin rash - neurological manifestations",0
"MONDO_0024516","familial acne inversa",40
"MONDO_0002191","syringoma",21
"MONDO_0020593","trichoblastoma",55
"EFO_1000396","Nevus of Ota",8
"EFO_0002613","iatrogenic Kaposi's sarcoma",2
"EFO_1000531","Skin Sarcoma",152
"EFO_1000212","Cutaneous Undifferentiated Pleomorphic Sarcoma",0
"MONDO_0003761","leptomeningeal melanoma",5
"MONDO_0018534","squamous cell carcinoma of liver and intrahepatic biliary tract",1
"EFO_1001927","cutaneous squamous cell carcinoma",330
"EFO_0004199","dysplastic nevus",238
"MONDO_0002527","keratoacanthoma",105
"MONDO_0021154","dermis disease",2214
"Orphanet_363314","Genetic intestinal polyposis",1337
"Orphanet_99818","Turcot syndrome with polyposis",15
"Orphanet_261584","Familial adenomatous polyposis due to 5q22.2 microdeletion",0
"MONDO_0021398","polyp of rectum",146
"MONDO_0023370","neoplastic disease or syndrome",16666
"Orphanet_321","Multiple osteochondromas",19
"Orphanet_404","Familial hyperaldosteronism type II",23
"EFO_0000248","alveolar rhabdomyosarcoma",448
"MONDO_0002863","rhabdomyosarcoma with mixed embryonal and alveolar features",11
"EFO_0000437","embryonal rhabdomyosarcoma",444
"MONDO_0024757","cardiovascular neoplasm",2519
"MONDO_0022096","pyogenic granuloma",143
"MONDO_0016223","infantile hemangioma of rare localization",22
"MONDO_0016222","spindle cell hemangioma",18
"EFO_0009908","glabellar hemangioma",3
"MONDO_0018718","vascular tumor with associated anomalies",0
"MONDO_0001340","heart cancer",14
"MONDO_0001438","postinflammatory pulmonary fibrosis",106
"EFO_1000367","Mediastinal Neuroblastoma",7
"EFO_1000284","Granular Cell Tumor",63
"MONDO_0003252","granular cell cancer",15
"MONDO_0003350","granular cell leiomyosarcoma",0
"EFO_1000361","Malignant Peripheral Nerve Sheath Tumor with Mesenchymal Differentiation",0
"EFO_1000858","cerebellum cancer",1
"MONDO_0017824","familial isolated pituitary adenoma",374
"EFO_0005578","pituitary cancer",1049
"EFO_1000497","Prolactin-Producing Pituitary Gland Carcinoma",2
"MONDO_0021232","pineal body neoplasm",82
"MONDO_0003249","pineal gland cancer",66
"EFO_1000383","Mixed Somatotroph-Lactotroph Pituitary Gland Adenoma",4
"MONDO_0003142","intracranial primitive neuroectodermal tumor",98
"EFO_0008495","childhood supratentorial ependymoma",28
"MONDO_0021640","grade III glioma",527
"EFO_1000372","Meningothelial Meningioma",112
"MONDO_0011789","familial meningioma",8
"EFO_0000326","central nervous system cancer",7191
"MONDO_0020669","paranasal sinus cancer",15
"MONDO_0003275","middle ear cancer",5
"EFO_0009710","micrometastasis",125
"MONDO_0024880","metastatic malignant neoplasm",760
"EFO_1000561","Tendon Sheath Fibroma",4
"MONDO_0018327","glomus tumor",35
"EFO_1000085","Angiolipoma",15
"EFO_1000181","Clear Cell Papillary Cystadenoma",2
"EFO_1001087","parathyroid adenoma",229
"EFO_1001970","squamous papilloma",34
"MONDO_0017795","ameloblastoma",245
"EFO_1000487","Plexiform Ameloblastoma",21
"MONDO_0021119","non-functioning endocrine neoplasm",249
"EFO_1000324","Liver Inflammatory Myofibroblastic Tumor",9
"MONDO_0002664","extrahepatic bile duct signet ring cell carcinoma",0
"MONDO_0021321","malignant tumor of extrahepatic bile duct",1520
"MONDO_0015063","duodenal neuroendocrine tumor, well differentiated, low or intermediate grade",5
"EFO_1000277","Gastric Small Cell Neuroendocrine Carcinoma",2
"EFO_1000588","Thyroid Gland Hyalinizing Trabecular Tumor",6
"MONDO_0024622","thyroid gland adenocarcinoma",1508
"EFO_1000224","Duodenal Gastrin-Producing Neuroendocrine Tumor",2
"EFO_0001071","lung carcinoma",7628
"MONDO_0003892","acinar lung adenocarcinoma",1
"EFO_1000483","Pleural Biphasic Mesothelioma",90
"MONDO_0021065","pleural neoplasm",592
"EFO_1001035","maxillary sinus neoplasm",13
"EFO_1001972","undifferentiated pleomorphic sarcoma",388
"MONDO_0017387","epithelioid sarcoma",67
"EFO_0000705","spindle cell tumor",272
"MONDO_0002129","bone cancer",5744
"EFO_1001950","colon carcinoma",4026
"MONDO_0000892","colon medullary carcinoma",0
"EFO_1000450","Papillary Transitional Cell Carcinoma",10
"EFO_1000030","gastric tubular adenocarcinoma",40
"EFO_1000223","Duodenal Adenocarcinoma",190
"EFO_0000231","adenoid cystic carcinoma",547
"EFO_1000304","Intestinal Type Adenocarcinoma",598
"EFO_0006500","tubular adenocarcinoma",120
"EFO_1001966","rectosigmoid adenocarcinoma",84
"EFO_0009361","colorectal mucinous adenocarcinoma",11
"EFO_1000377","Micropapillary Serous Carcinoma",2
"EFO_1000260","Floor of Mouth Mucoepidermoid Carcinoma",4
"MONDO_0021009","salivary gland mucoepidermoid carcinoma",59
"MONDO_0023644","lip and oral cavity carcinoma",2110
"MONDO_0001235","appendix cancer",153
"MONDO_0037256","serous neoplasm",2065
"MONDO_0002423","rectosigmoid junction neoplasm",1
"MONDO_0018648","Keratocystic odontogenic tumor",96
"MONDO_0021368","neoplasm of major salivary gland",153
"MONDO_0021320","malignant tumor of floor of mouth",7
"EFO_0005570","oral cavity cancer",2260
"MONDO_0024477","liver and intrahepatic bile duct neoplasm",6471
"EFO_0000737","well-differentiated sarcoma",0
"MONDO_0044986","lymphoid system disease",7250
"MONDO_0000771","allergic respiratory disease",1258
"EFO_0002686","atopy",365
"MONDO_0002459","type IV hypersensitivity disease",1065
"EFO_0001066","experimental autoimmune encephalomyelitis",1157
"EFO_0008522","secondary progressive multiple sclerosis",444
"Orphanet_228426","Syndromic multisystem autoimmune disease due to Itch deficiency",5
"EFO_1001982","Antisynthetase syndrome",20
"MONDO_0000774","autoimmune neuropathy",663
"MONDO_0016493","variant of Guillain-Barre syndrome",21
"EFO_1001490","late-onset myasthenia gravis",18
"EFO_1001222","type III hypersensitivity reaction disease",67
"Orphanet_169443","Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells",0
"Orphanet_331232","Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells",219
"Orphanet_306550","FADD-related immunodeficiency",40
"Orphanet_2968","Leukocyte adhesion deficiency",445
"Orphanet_99843","Leukocyte adhesion deficiency type II",171
"MONDO_0020636","mendelian susceptibility to mycobacterial diseases due to a complete deficiency",800
"Orphanet_319547","Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency",231
"Orphanet_319589","Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency",0
"EFO_1001435","tenosynovitis",22
"MONDO_0009453","immune deficiency disease",6108
"EFO_1001836","pyogenic liver abscess",8
"Orphanet_156604","Genetic parenchymatous liver disease",966
"EFO_0007305","hepatitis A virus infection",121
"EFO_1001249","non-alcoholic steatohepatitis",1086
"MONDO_0000045","hypothyroidism, congenital, nongoitrous",475
"Orphanet_329235","X-linked central congenital hypothyroidism with late-onset testicular enlargement",25
